39,Compression
41,Cryptography
251,Development tools::FFI
429,Operating systems::Windows APIs
429,No standard library
572,Multimedia::Audio
572,Operating systems::Unix APIs
602,No standard library
694,Multimedia
694,Rendering::Graphics APIs
695,Rendering::Data formats
697,Multimedia::Audio
698,GUI
699,Rendering
700,Rendering::Data formats
701,Rendering::Data formats
714,Game engines
714,Multimedia
714,Rendering
795,Operating systems
795,No standard library
867,Multimedia::Images
1324,API bindings
1324,Operating systems
1324,No standard library
1454,Database interfaces
1508,Multimedia::Images
1702,API bindings
1702,Authentication
1702,Operating systems::Unix APIs
2123,Science
2124,Science
2125,Science
2241,Database interfaces
2540,Cryptography
2621,Network programming
2646,Multimedia::Encoding
2972,GUI
3109,Internationalization (i18n)
3519,Operating systems::macOS APIs
3787,GUI
3787,Multimedia
3789,GUI
3789,Multimedia
4053,Hardware support
4247,Multimedia
4326,Cryptography
4599,Hardware support
4599,Operating systems
4652,API bindings
4995,Cryptography
5003,Hardware support
5181,Science
5343,Science
5477,Development tools::Debugging
5664,Multimedia::Images
5890,API bindings
5890,Asynchronous
5890,Science
6037,Hardware support
6298,GUI
6299,GUI
6300,GUI
6904,Filesystem
6904,Operating systems::Unix APIs
6904,No standard library
7122,Multimedia::Audio
7241,API bindings
7241,Database interfaces
7559,Multimedia::Audio
7688,Science
7907,No standard library
7907,Mathematics
8166,Encoding
8166,Multimedia::Audio
8169,Multimedia::Audio
8191,Multimedia::Audio
8249,Asynchronous
8249,Database interfaces
8260,Hardware support
8344,GUI
8379,Multimedia::Encoding
8543,API bindings
8543,Development tools::FFI
8543,No standard library
8677,Multimedia::Images
8795,API bindings
8795,Text processing
8795,Value formatting
8813,Database interfaces
9055,Database interfaces
9108,API bindings
9108,Encoding
9109,API bindings
9109,Encoding
10418,Development tools::FFI
11080,API bindings
11080,Emulators
11117,API bindings
11117,Authentication
11875,Database interfaces
11875,Hardware support
12047,GUI
12421,API bindings
13558,Rendering::Graphics APIs
13558,Rendering
13558,No standard library
13723,Filesystem
13858,Filesystem
13858,Hardware support
13858,Memory management
14946,Hardware support
15720,Rendering::Rendering engine
15821,Database interfaces
15822,Database interfaces
15867,Embedded development
15867,No standard library
17208,Hardware support
17208,Memory management
17208,Network programming
17212,Command-line interface
17212,Hardware support
17212,Memory management
18061,API bindings
18061,Hardware support
18114,Encoding
18114,Multimedia::Audio
18114,Multimedia::Encoding
18724,GUI
19677,Embedded development
20462,Operating systems::Unix APIs
21193,API bindings
21193,Database interfaces
21196,API bindings
21196,Asynchronous
21196,Database interfaces
24085,API bindings
24085,Network programming
24101,Data structures
24102,Data structures
24949,Network programming
25568,Hardware support
26287,Science
27945,Parsing tools
30338,Memory management
30338,No standard library
31070,API bindings
31070,Network programming
31070,Operating systems::Unix APIs
32536,Embedded development
32543,Compression
32543,Encoding
32543,Web programming
32760,Compression
32760,Encoding
32760,Multimedia
32760,Web programming
32773,Compression
32773,Encoding
32773,Web programming
33092,Filesystem
34706,GUI
34728,GUI
34729,GUI
34730,GUI
34732,GUI
34917,Encoding
34917,Hardware support
